================ Training Loss (Wed Sep 17 18:25:08 2025) ================
[Rank 0] (epoch: 118, iters: 50, time: 1.796, data: 0.001) , G_GAN: 2.351, G_L1: 5.893, D_real: 0.146, D_fake: 0.625

[Rank 0] (epoch: 118, iters: 150, time: 1.797, data: 0.001) , G_GAN: 1.975, G_L1: 2.955, D_real: 0.160, D_fake: 0.564

[Rank 0] (epoch: 119, iters: 100, time: 1.793, data: 12.916) , G_GAN: 2.242, G_L1: 3.303, D_real: 0.234, D_fake: 0.062

[Rank 0] (epoch: 120, iters: 50, time: 1.651, data: 0.001) , G_GAN: 2.215, G_L1: 4.303, D_real: 0.410, D_fake: 0.443

[Rank 0] (epoch: 120, iters: 150, time: 1.784, data: 0.002) , G_GAN: 1.935, G_L1: 2.760, D_real: 0.206, D_fake: 0.568

